country_code,country,year,consumption_growth,inflation,interest_rate,gdp_growth,unemployment
USA,United States,2000,-1.997,0.867,4.044,1.13,4.935
USA,United States,2001,-1.396,1.886,3.767,2.779,5.023
USA,United States,2002,-2.779,2.166,4.238,3.316,5.002
USA,United States,2003,-1.153,2.165,4.034,7.583,4.053
USA,United States,2004,-0.145,1.165,3.652,-0.479,4.395
USA,United States,2005,-0.507,0.663,3.684,3.296,4.487
USA,United States,2006,0.08,0.634,3.435,2.193,4.483
USA,United States,2007,-0.75,0.723,3.456,2.45,3.942
USA,United States,2008,-1.487,1.433,3.695,2.648,3.016
USA,United States,2009,-1.294,0.403,3.285,-3.567,4.285
USA,United States,2010,-1.202,2.477,3.831,3.898,4.307
USA,United States,2011,-2.183,2.616,3.72,0.163,4.103
USA,United States,2012,-3.21,2.723,4.034,2.379,4.695
USA,United States,2013,-2.432,2.035,4.526,-0.017,5.233
USA,United States,2014,-0.705,1.405,4.163,2.131,4.923
USA,United States,2015,-0.609,1.161,4.379,3.882,4.541
USA,United States,2016,-2.373,2.529,4.794,3.703,3.622
USA,United States,2017,-3.539,3.353,5.854,1.542,3.846
USA,United States,2018,-4.784,2.987,5.99,-2.836,4.629
USA,United States,2019,-3.822,2.03,5.359,1.407,4.619
USA,United States,2020,-2.804,1.426,5.561,0.494,4.277
USA,United States,2021,-4.277,3.754,6.102,1.764,5.047
USA,United States,2022,-6.524,5.756,6.138,0.595,5.475
USA,United States,2023,-5.759,5.212,6.005,1.683,5.652
GBR,United Kingdom,2000,-1.763,2.166,4.071,4.812,4.708
GBR,United Kingdom,2001,-3.817,3.047,3.993,2.275,5.125
GBR,United Kingdom,2002,-2.505,2.509,3.745,-2.321,5.271
GBR,United Kingdom,2003,-2.435,2.752,3.24,-2.259,5.543
GBR,United Kingdom,2004,-3.901,3.371,3.637,-1.569,5.695
GBR,United Kingdom,2005,-2.912,1.848,3.958,-1.791,6.131
GBR,United Kingdom,2006,-1.963,1.891,3.985,2.523,5.49
GBR,United Kingdom,2007,-0.339,0.729,2.504,-0.467,5.695
GBR,United Kingdom,2008,-2.301,1.302,2.638,-1.658,5.995
GBR,United Kingdom,2009,-1.58,0.969,2.574,-1.183,5.366
GBR,United Kingdom,2010,-1.055,1.967,2.658,0.071,5.274
GBR,United Kingdom,2011,-1.305,1.751,2.913,0.325,5.055
GBR,United Kingdom,2012,-1.311,1.681,3.061,1.467,4.91
GBR,United Kingdom,2013,-0.824,2.551,2.776,-0.234,5.075
GBR,United Kingdom,2014,-2.106,2.572,3.862,-1.234,5.097
GBR,United Kingdom,2015,-3.14,3.281,4.184,1.842,5.02
GBR,United Kingdom,2016,-4.405,3.493,4.572,3.471,5.963
GBR,United Kingdom,2017,-4.637,3.142,4.399,1.78,5.452
GBR,United Kingdom,2018,-4.655,3.59,4.381,-1.335,5.006
GBR,United Kingdom,2019,-3.171,2.699,4.129,3.917,4.76
GBR,United Kingdom,2020,-4.827,3.533,4.19,-0.857,4.544
GBR,United Kingdom,2021,-6.398,5.862,4.672,0.527,5.437
GBR,United Kingdom,2022,-8.324,7.363,6.074,1.787,5.104
GBR,United Kingdom,2023,-7.605,6.007,6.717,3.061,5.755
DEU,Germany,2000,-3.703,2.759,4.197,1.744,5.169
DEU,Germany,2001,-2.796,1.848,3.847,0.017,5.571
DEU,Germany,2002,-1.4,0.964,3.545,3.236,4.453
DEU,Germany,2003,-0.562,0.072,2.581,1.339,4.595
DEU,Germany,2004,-2.226,1.282,2.918,1.513,4.855
DEU,Germany,2005,-1.057,1.158,2.642,3.644,4.537
DEU,Germany,2006,-0.762,0.755,1.905,1.943,4.742
DEU,Germany,2007,1.579,-0.742,1.01,3.436,4.871
DEU,Germany,2008,-0.972,0.255,1.165,0.236,5.502
DEU,Germany,2009,-2.062,1.644,1.943,-1.845,5.818
DEU,Germany,2010,-2.098,1.964,2.121,-0.798,5.473
DEU,Germany,2011,-1.713,1.616,2.816,1.819,4.682
DEU,Germany,2012,-1.946,1.871,3.009,2.069,4.951
DEU,Germany,2013,-3.027,2.194,3.54,2.403,5.043
DEU,Germany,2014,-3.576,1.99,3.633,-1.686,4.922
DEU,Germany,2015,-2.164,1.262,3.621,1.598,4.565
DEU,Germany,2016,-1.789,1.374,3.169,-0.164,4.689
DEU,Germany,2017,-1.851,1.731,3.384,4.399,4.757
DEU,Germany,2018,-3.777,1.685,3.945,1.631,4.874
DEU,Germany,2019,-2.751,1.532,3.698,-0.09,4.857
DEU,Germany,2020,-4.55,2.504,3.603,-2.044,5.358
DEU,Germany,2021,-5.618,5.242,4.281,2.024,4.896
DEU,Germany,2022,-8.055,7.097,5.623,4.142,5.222
DEU,Germany,2023,-6.972,5.719,5.958,4.417,5.634
FRA,France,2000,-4.335,2.784,3.934,0.857,8.875
FRA,France,2001,-3.014,2.383,3.952,-1.969,9.302
FRA,France,2002,-3.504,2.437,3.953,0.358,9.151
FRA,France,2003,-4.259,2.97,4.112,3.203,7.676
